Data,Vazao,Precipitacao
1991-05,83.55612903225806,21.400000000000002
1991-06,69.31242999999999,6.9
1991-07,60.79075806451613,9.870000000000001
1991-08,51.8395,4.24
1991-09,59.18246,87.38000000000001
1991-10,61.48498387096774,132.11
1991-11,92.42867333333334,193.66
1991-12,92.70331935483871,206.6
1992-01,200.9309129032258,435.82
1992-02,137.09140689655172,156.78
1992-03,89.44456129032258,28.55
1992-04,87.38413333333332,115.32000000000001
1992-05,84.74787741935482,81.38
1992-06,60.65045,8.27
1992-07,55.29445806451613,14.28
1992-08,48.649393548387096,24.49
1992-09,67.25861666666667,129.68
1992-10,63.67361935483871,137.64
1992-11,128.54364,298.76
1992-12,105.47280645161291,237.16
1993-01,119.50309677419355,227.03
1993-02,94.58427857142856,157.45
1993-03,94.70578064516128,100.06
1993-04,88.65620333333332,145.92
1993-05,68.50996451612903,15.280000000000001
1993-06,62.49995333333333,19.419999999999998
1993-07,50.80755483870968,0.46
1993-08,46.79489677419355,8.77
1993-09,41.01639,69.67
1993-10,57.21463548387097,141.81
1993-11,46.489956666666664,110.1
1993-12,65.60041290322582,204.24
1994-01,159.55502903225806,392.07
1994-02,65.08280357142857,34.2
1994-03,105.99610967741935,220.07
1994-04,79.45420666666668,87.43
1994-05,61.048509677419354,85.12
1994-06,47.59350333333334,11.41
1994-07,42.55552580645161,4.52
1994-08,37.15446451612903,0.24000000000000002
1994-09,29.266566666666666,0.52
1994-10,38.403370967741935,108.79
1994-11,46.81144,155.23000000000002
1994-12,84.53979032258064,302.6
1995-01,49.45141612903225,163.29000000000002
1995-02,96.02577857142856,216.19
1995-03,78.23468709677418,146.17000000000002
1995-04,63.27954666666666,35.07
1995-05,54.44998387096774,49.92
1995-06,37.332253333333334,5.1
1995-07,32.43678064516129,2.28
1995-08,24.87878387096774,0.08
1995-09,22.549789999999998,22.96
1995-10,36.80491935483871,170.95999999999998
1995-11,64.44914666666666,189.64
1995-12,117.81081290322581,364.85
1996-01,139.73744838709678,176.75
1996-02,73.8265103448276,159.61
1996-03,82.49220322580645,143.59
1996-04,54.66685333333333,42.160000000000004
1996-05,49.112258064516126,51.4
1996-06,37.856226666666664,3.8500000000000005
1996-07,32.42853548387097,0.1
1996-08,30.26524516129032,12.85
1996-09,39.92210333333333,79.28
1996-10,48.79023870967742,120.02
1996-11,134.95266,338.32
1996-12,119.57887419354839,311.27
1997-01,265.1991935483871,433.08
1997-02,106.89687142857143,105.96000000000001
1997-03,130.1095806451613,158.70000000000002
1997-04,94.65656666666668,78.02
1997-05,73.24906774193549,12.33
1997-06,74.04117,27.689999999999998
1997-07,56.722793548387095,3.9699999999999998
1997-08,45.06617419354839,1.06
1997-09,55.512116666666664,105.01
1997-10,64.58170967741935,120.66
1997-11,61.499246666666664,210.73999999999998
1997-12,113.04798064516129,271.39
1998-01,109.88537741935484,268.28000000000003
1998-02,95.90123571428572,203.43
1998-03,69.42020967741935,59.21
1998-04,55.89246666666667,39.49
1998-05,45.60683548387097,63.95
1998-06,44.063766666666666,2.0
1998-07,37.41788387096774,2.13
1998-08,38.481006451612906,61.37
1998-09,33.400870000000005,30.91
1998-10,50.05991612903226,180.45
1998-11,71.84881333333333,220.25
1998-12,85.00948064516129,220.78
1999-01,101.41649354838711,243.19
1999-02,53.1392,148.6
1999-03,98.70463870967743,229.5
1999-04,53.17476,28.89
1999-05,37.78359677419355,5.029999999999999
1999-06,35.74472,11.51
1999-07,32.34889677419355,6.08
1999-08,27.34893225806452,0.63
1999-09,26.83581,23.09
1999-10,33.00497741935484,89.46000000000001
1999-11,59.15680999999999,250.45
1999-12,82.73676129032258,267.7
2000-01,115.77970322580644,417.96
2000-02,122.37888620689655,159.07999999999998
2000-03,78.89096451612903,158.87
2000-04,56.56172,41.69
2000-05,42.58310967741935,7.45
2000-06,37.149919999999995,11.22
2000-07,33.93762580645162,7.8100000000000005
2000-08,30.816151612903226,32.35
2000-09,40.291180000000004,103.01
2000-10,30.993109677419355,90.06
2000-11,71.90259333333333,261.04
2000-12,90.2858129032258,218.13
2001-01,83.60471612903225,177.45
2001-02,57.73220357142857,105.99000000000001
2001-03,60.7968064516129,169.03
2001-04,36.52065,18.78
2001-05,33.98435483870968,62.85
2001-06,29.83753,0.39
2001-07,25.15041935483871,3.36
2001-08,22.345009677419355,13.04
2001-09,25.144150000000003,62.190000000000005
2001-10,34.92502258064516,127.12
2001-11,72.90699333333333,291.21000000000004
2001-12,74.26225483870968,287.52
2002-01,128.07022258064515,318.06
2002-02,138.79113214285715,265.49
2002-03,80.63010322580645,80.22
2002-04,54.17601,30.869999999999997
2002-05,48.24010967741936,40.04
2002-06,38.72585,0.04
2002-07,34.63607419354839,6.58
